Type Combination Matrix
Profile: STANDARD_ALL_TYPES

Type1,Type2,BOOL,INT8,UINT8,INT16,UINT16,INT32,UINT32,INT64,UINT64,HALF,BFLOAT16,FLOAT32,DOUBLE,UTF8
BOOL,BOOL,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓
BOOL,INT8,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓
BOOL,UINT8,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓
BOOL,INT16,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓
BOOL,UINT16,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓
BOOL,INT32,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓
BOOL,UINT32,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓
BOOL,INT64,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓
BOOL,UINT64,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓
BOOL,HALF,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓
BOOL,BFLOAT16,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓
BOOL,FLOAT32,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓
BOOL,DOUBLE,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓
BOOL,UTF8,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓
INT8,BOOL,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓
INT8,INT8,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓
INT8,UINT8,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓
INT8,INT16,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓
INT8,UINT16,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓
INT8,INT32,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓
INT8,UINT32,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓
INT8,INT64,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓
INT8,UINT64,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓
