Template,Type Count,Total Instantiations,Sample Types
random,1,14,"BOOL; INT8; UINT8"
reduce_same,1,14,"BOOL; INT8; UINT8"
specials_single,1,14,"BOOL; INT8; UINT8"
reduce3,2,158,"(BOOL,BOOL); (BOOL,INT8); (BOOL,UINT8)"
reduce_float,2,158,"(BOOL,BOOL); (BOOL,INT8); (BOOL,UINT8)"
indexreduce,2,158,"(BOOL,BOOL); (BOOL,INT8); (BOOL,UINT8)"
reduce_bool,2,158,"(BOOL,BOOL); (BOOL,INT8); (BOOL,UINT8)"
reduce_long,2,158,"(BOOL,BOOL); (BOOL,INT8); (BOOL,UINT8)"
specials_double,2,158,"(BOOL,BOOL); (BOOL,INT8); (BOOL,UINT8)"
indexreduction,2,158,"(BOOL,BOOL); (BOOL,INT8); (BOOL,UINT8)"
pairwise,3,623,"(BOOL,BOOL,BOOL); (BOOL,INT8,BOOL); (BOOL,INT8,INT8)"
scalar,3,623,"(BOOL,BOOL,BOOL); (BOOL,INT8,BOOL); (BOOL,INT8,INT8)"
broadcast,3,623,"(BOOL,BOOL,BOOL); (BOOL,INT8,BOOL); (BOOL,INT8,INT8)"
